epoch,accuracy,loss,val_accuracy,val_loss
0,0.0378132127225399,3.8343851566314697,0.04285714402794838,3.8417983055114746
1,0.06378132104873657,3.7632358074188232,0.03999999910593033,3.820676326751709
2,0.09445709735155106,3.701141119003296,0.06285714358091354,3.738954782485962
3,0.12725892663002014,3.6264610290527344,0.11428571492433548,3.653724193572998
4,0.15671981871128082,3.530672788619995,0.1542857140302658,3.592940092086792
5,0.1910402476787567,3.4240362644195557,0.14571428298950195,3.57216215133667
6,0.2273348569869995,3.284306526184082,0.14571428298950195,3.6146886348724365
7,0.2637813091278076,3.133633613586426,0.2542857229709625,3.3580992221832275
8,0.31176915764808655,2.9692609310150146,0.2857142984867096,3.3104374408721924
9,0.35808655619621277,2.7974960803985596,0.26571428775787354,3.232142210006714
10,0.39468488097190857,2.629976987838745,0.3685714304447174,2.9417152404785156
11,0.445558100938797,2.4643304347991943,0.3171428442001343,3.0502333641052246
12,0.46287015080451965,2.328859567642212,0.43714284896850586,2.6856443881988525
13,0.49552011489868164,2.1971676349639893,0.2800000011920929,3.193767786026001
14,0.5216400623321533,2.066582679748535,0.27714285254478455,3.0922932624816895
15,0.5448747277259827,1.966117024421692,0.5771428346633911,1.9484425783157349
16,0.5679574608802795,1.8637619018554688,0.39714285731315613,2.4628565311431885
17,0.5869399905204773,1.7802681922912598,0.6942856907844543,1.6044923067092896
18,0.6074411273002625,1.700445532798767,0.5114285945892334,2.1131985187530518
19,0.6259680986404419,1.6530144214630127,0.5799999833106995,1.8770642280578613
